instance, k, h, cost, gt, optimal, time
10, 1, 0.2, 1937, 1936, 0, 0.413895
10, 1, 0.4, 1031, 1025, 0, 0.136852
10, 1, 0.6, 867, 841, 1, 0.087976
10, 1, 0.8, 857, 818, 1, 0.096321
10, 2, 0.2, 1106, 1042, 0, 0.082016
10, 2, 0.4, 639, 615, 1, 0.079155
10, 2, 0.6, 664, 615, 1, 0.082016
10, 2, 0.8, 664, 615, 1, 0.07391
10, 3, 0.2, 1731, 1586, 0, 0.089884
10, 3, 0.4, 972, 917, 0, 0.077009
10, 3, 0.6, 793, 793, 1, 0.093937
10, 3, 0.8, 793, 793, 1, 0.074863
10, 4, 0.2, 2183, 2139, 0, 0.083208
10, 4, 0.4, 1251, 1230, 0, 0.090837
10, 4, 0.6, 815, 815, 1, 0.08297
10, 4, 0.8, 820, 803, 0, 0.110149
10, 5, 0.2, 1214, 1187, 0, 0.129223
10, 5, 0.4, 914, 630, 0, 0.13113
10, 5, 0.6, 601, 521, 1, 0.102997
10, 5, 0.8, 601, 521, 1, 0.07081
10, 6, 0.2, 1530, 1521, 0, 0.080109
10, 6, 0.4, 922, 908, 1, 0.075102
10, 6, 0.6, 775, 755, 1, 0.077009
10, 6, 0.8, 783, 755, 1, 0.076056
10, 7, 0.2, 2628, 2170, 0, 0.082016
10, 7, 0.4, 1678, 1374, 1, 0.082016
10, 7, 0.6, 1110, 1101, 0, 0.078917
10, 7, 0.8, 1237, 1083, 1, 0.159025
10, 8, 0.2, 1734, 1720, 0, 0.149965
10, 8, 0.4, 1020, 1020, 0, 0.120878
10, 8, 0.6, 610, 610, 1, 0.116825
10, 8, 0.8, 583, 540, 1, 0.123739
10, 9, 0.2, 1749, 1574, 0, 0.133991
10, 9, 0.4, 1151, 876, 1, 0.117064
10, 9, 0.6, 744, 582, 1, 0.115395
10, 9, 0.8, 622, 554, 1, 0.114918
10, 10, 0.2, 1955, 1869, 0, 0.130177
10, 10, 0.4, 1140, 1136, 0, 0.117064
10, 10, 0.6, 719, 710, 0, 0.11301
10, 10, 0.8, 719, 671, 1, 0.108719
20, 1, 0.2, 4502, 4431, 0, 0.421047
20, 1, 0.4, 3071, 3066, 0, 0.467062
20, 1, 0.6, 3077, 2986, 0, 0.182867
20, 1, 0.8, 3077, 2986, 0, 0.168085
20, 2, 0.2, 9021, 8567, 0, 0.269175
20, 2, 0.4, 5561, 4897, 0, 0.288963
20, 2, 0.6, 3379, 3260, 0, 0.309944
20, 2, 0.8, 3442, 2980, 0, 0.260115
20, 3, 0.2, 6338, 6331, 0, 0.233889
20, 3, 0.4, 4044, 3883, 0, 0.194073
20, 3, 0.6, 3583, 3600, 0, 0.185013
20, 3, 0.8, 3583, 3600, 0, 0.20504
20, 4, 0.2, 9421, 9478, 0, 0.418186
20, 4, 0.4, 5156, 5122, 0, 0.250101
20, 4, 0.6, 3345, 3336, 0, 0.251055
20, 4, 0.8, 3406, 3040, 0, 0.298023
20, 5, 0.2, 4411, 4340, 0, 0.269651
20, 5, 0.4, 2668, 2571, 0, 0.209093
20, 5, 0.6, 2512, 2206, 0, 0.210285
20, 5, 0.8, 2509, 2206, 0, 0.153065
20, 6, 0.2, 6672, 6766, 0, 0.124931
20, 6, 0.4, 3645, 3601, 0, 0.117779
20, 6, 0.6, 3415, 3016, 0, 0.134945
20, 6, 0.8, 4092, 3016, 0, 0.171185
20, 7, 0.2, 11376, 1110, 0, 0.181198
20, 7, 0.4, 6296, 16357, 0, 0.167847
20, 7, 0.6, 4148, 4175, 0, 0.156164
20, 7, 0.8, 4431, 3900, 0, 0.213146
20, 8, 0.2, 3977, 4203, 0, 0.263929
20, 8, 0.4, 2613, 2151, 0, 0.269175
20, 8, 0.6, 1657, 1638, 0, 0.190258
20, 8, 0.8, 1657, 1638, 0, 0.196218
20, 9, 0.2, 3573, 3530, 0, 0.193596
20, 9, 0.4, 2133, 2097, 0, 0.196934
20, 9, 0.6, 2133, 1992, 0, 0.20504
20, 9, 0.8, 2133, 1992, 0, 0.758171
20, 10, 0.2, 5620, 5545, 0, 0.217199
20, 10, 0.4, 4227, 3192, 0, 0.159025
20, 10, 0.6, 2162, 2116, 0, 0.15521
20, 10, 0.8, 2249, 1995, 0, 0.154018
50, 1, 0.2, 42414, 42363, 0, 0.315905
50, 1, 0.4, 25371, 24868, 0, 0.233889
50, 1, 0.6, 20469, 17990, 0, 0.208855
50, 1, 0.8, 21353, 17990, 0, 0.202894
50, 2, 0.2, 32626, 33637, 0, 0.203133
50, 2, 0.4, 20256, 19279, 0, 0.197887
50, 2, 0.6, 14563, 14231, 0, 0.201941
50, 2, 0.8, 14742, 14132, 0, 0.221968
50, 3, 0.2, 39161, 37641, 0, 0.391245
50, 3, 0.4, 22309, 21353, 0, 0.281811
50, 3, 0.6, 17806, 16497, 0, 0.198841
50, 3, 0.8, 17484, 16497, 0, 0.187159
50, 4, 0.2, 30530, 30166, 0, 0.210047
50, 4, 0.4, 19218, 17495, 0, 0.202894
50, 4, 0.6, 14717, 14105, 0, 0.191927
50, 4, 0.8, 14949, 14105, 0, 0.189781
50, 5, 0.2, 33536, 32604, 0, 0.190973
50, 5, 0.4, 19333, 18441, 0, 0.252008
50, 5, 0.6, 15042, 14650, 0, 0.364065
50, 5, 0.8, 15476, 14650, 0, 0.365019
50, 6, 0.2, 37362, 36920, 0, 0.95582
50, 6, 0.4, 24141, 21497, 0, 0.588894
50, 6, 0.6, 15695, 14251, 0, 0.385761
50, 6, 0.8, 14536, 14075, 0, 0.319958
50, 7, 0.2, 44305, 44277, 0, 0.283957
50, 7, 0.4, 24220, 23883, 0, 0.26083
50, 7, 0.6, 17955, 17715, 0, 0.571012
50, 7, 0.8, 19695, 17715, 0, 0.51403
50, 8, 0.2, 45636, 46065, 0, 0.424862
50, 8, 0.4, 27054, 25402, 0, 0.401974
50, 8, 0.6, 22688, 21367, 0, 0.272751
50, 8, 0.8, 24137, 21367, 0, 0.296116
50, 9, 0.2, 37057, 36397, 0, 0.32115
50, 9, 0.4, 22445, 21929, 0, 0.261784
50, 9, 0.6, 15225, 14298, 0, 0.251293
50, 9, 0.8, 15258, 13952, 0, 0.249863
50, 10, 0.2, 37163, 35797, 0, 0.294685
50, 10, 0.4, 22120, 20048, 0, 0.277996
50, 10, 0.6, 15368, 14377, 0, 0.282764
50, 10, 0.8, 15370, 14377, 0, 0.285864
100, 1, 0.2, 158772, 156103, 0, 0.41604
100, 1, 0.4, 94566, 89588, 0, 0.48089
100, 1, 0.6, 74629, 72019, 0, 0.463963
100, 1, 0.8, 76949, 72019, 0, 0.437021
100, 2, 0.2, 131590, 132605, 0, 0.47493
100, 2, 0.4, 79734, 74854, 0, 0.56982
100, 2, 0.6, 61057, 59351, 0, 1.306057
100, 2, 0.8, 62105, 59351, 0, 1.126051
100, 3, 0.2, 139312, 137463, 0, 0.781059
100, 3, 0.4, 87433, 85363, 0, 0.675917
100, 3, 0.6, 70461, 68537, 0, 0.784159
100, 3, 0.8, 70628, 68537, 0, 0.897884
100, 4, 0.2, 136863, 137265, 0, 0.995159
