instance, k, h, cost, gt, optimal, time
10, 1, 0.2, 1937, 1936, 0, 0.242949
10, 1, 0.4, 1031, 1025, 0, 0.157118
10, 1, 0.6, 867, 841, 1, 0.125885
10, 1, 0.8, 857, 818, 1, 0.118971
10, 2, 0.2, 1106, 1042, 0, 0.128984
10, 2, 0.4, 639, 615, 1, 0.114918
10, 2, 0.6, 664, 615, 1, 0.119209
10, 2, 0.8, 664, 615, 1, 0.163794
10, 3, 0.2, 1731, 1586, 0, 0.108957
10, 3, 0.4, 972, 917, 0, 0.082016
10, 3, 0.6, 793, 793, 1, 0.081778
10, 3, 0.8, 793, 793, 1, 0.176907
10, 4, 0.2, 2183, 2139, 0, 0.149965
10, 4, 0.4, 1251, 1230, 0, 0.083923
10, 4, 0.6, 815, 815, 1, 0.080824
10, 4, 0.8, 820, 803, 0, 0.072956
10, 5, 0.2, 1214, 1187, 0, 0.072241
10, 5, 0.4, 914, 630, 0, 0.069857
10, 5, 0.6, 601, 521, 1, 0.068188
10, 5, 0.8, 601, 521, 1, 0.068188
10, 6, 0.2, 1530, 1521, 0, 0.077009
10, 6, 0.4, 922, 908, 1, 0.07391
10, 6, 0.6, 775, 755, 1, 0.077009
10, 6, 0.8, 783, 755, 1, 0.072956
10, 7, 0.2, 2628, 2170, 0, 0.081301
10, 7, 0.4, 1678, 1374, 1, 0.081062
10, 7, 0.6, 1110, 1101, 0, 0.086069
10, 7, 0.8, 1237, 1083, 1, 0.080109
10, 8, 0.2, 1734, 1720, 0, 0.080824
10, 8, 0.4, 1020, 1020, 0, 0.080109
10, 8, 0.6, 610, 610, 1, 0.077009
10, 8, 0.8, 583, 540, 1, 0.077248
10, 9, 0.2, 1749, 1574, 0, 0.077963
10, 9, 0.4, 1151, 876, 1, 0.080109
10, 9, 0.6, 744, 582, 1, 0.076056
10, 9, 0.8, 622, 554, 1, 0.077009
10, 10, 0.2, 1955, 1869, 0, 0.07391
10, 10, 0.4, 1140, 1136, 0, 0.071049
10, 10, 0.6, 719, 710, 0, 0.069857
10, 10, 0.8, 719, 671, 1, 0.071287
20, 1, 0.2, 4502, 4431, 0, 0.324249
20, 1, 0.4, 3071, 3066, 0, 0.248671
20, 1, 0.6, 3077, 2986, 0, 0.365973
20, 1, 0.8, 3077, 2986, 0, 0.828028
20, 2, 0.2, 9021, 8567, 0, 0.319004
20, 2, 0.4, 5561, 4897, 0, 0.252962
20, 2, 0.6, 3379, 3260, 0, 0.431061
20, 2, 0.8, 3442, 2980, 0, 0.26989
20, 3, 0.2, 6338, 6331, 0, 0.194073
20, 3, 0.4, 4044, 3883, 0, 0.166893
20, 3, 0.6, 3583, 3600, 0, 0.144958
20, 3, 0.8, 3583, 3600, 0, 0.139713
20, 4, 0.2, 9421, 9478, 0, 0.174046
20, 4, 0.4, 5156, 5122, 0, 0.49901
20, 4, 0.6, 3345, 3336, 0, 0.458956
20, 4, 0.8, 3406, 3040, 0, 0.234127
20, 5, 0.2, 4411, 4340, 0, 0.211
20, 5, 0.4, 2668, 2571, 0, 0.181913
20, 5, 0.6, 2512, 2206, 0, 0.175238
20, 5, 0.8, 2509, 2206, 0, 0.167847
20, 6, 0.2, 6672, 6766, 0, 0.252008
20, 6, 0.4, 3645, 3601, 0, 0.181198
20, 6, 0.6, 3415, 3016, 0, 0.170946
20, 6, 0.8, 4092, 3016, 0, 0.159025
20, 7, 0.2, 11376, 1110, 0, 0.181913
20, 7, 0.4, 6296, 16357, 0, 0.167131
20, 7, 0.6, 4148, 4175, 0, 0.16427
20, 7, 0.8, 4431, 3900, 0, 0.217915
20, 8, 0.2, 3977, 4203, 0, 0.378847
20, 8, 0.4, 2613, 2151, 0, 0.135899
20, 8, 0.6, 1657, 1638, 0, 0.147343
20, 8, 0.8, 1657, 1638, 0, 0.210047
20, 9, 0.2, 3573, 3530, 0, 0.205278
20, 9, 0.4, 2133, 2097, 0, 0.199795
20, 9, 0.6, 2133, 1992, 0, 0.108004
20, 9, 0.8, 2133, 1992, 0, 0.092745
20, 10, 0.2, 5620, 5545, 0, 0.113249
20, 10, 0.4, 4227, 3192, 0, 0.213146
20, 10, 0.6, 2162, 2116, 0, 0.194788
20, 10, 0.8, 2249, 1995, 0, 0.211954
50, 1, 0.2, 42414, 42363, 0, 0.323057
50, 1, 0.4, 25371, 24868, 0, 0.545979
50, 1, 0.6, 20469, 17990, 0, 0.32711
50, 1, 0.8, 21353, 17990, 0, 0.305891
50, 2, 0.2, 32626, 33637, 0, 0.282049
50, 2, 0.4, 20256, 19279, 0, 0.22006
50, 2, 0.6, 14563, 14231, 0, 0.200033
50, 2, 0.8, 14742, 14132, 0, 0.193119
50, 3, 0.2, 39161, 37641, 0, 0.19002
50, 3, 0.4, 22309, 21353, 0, 0.200987
50, 3, 0.6, 17806, 16497, 0, 0.188828
50, 3, 0.8, 17484, 16497, 0, 0.181913
50, 4, 0.2, 30530, 30166, 0, 0.196934
50, 4, 0.4, 19218, 17495, 0, 0.24724
50, 4, 0.6, 14717, 14105, 0, 0.329018
