instance, k, h, cost, gt, optimal, time
10, 1, 0.4, 1031, 1025, 0, 0.319958
10, 1, 0.6, 867, 841, 1, 0.142813
10, 6, 0.4, 922, 908, 1, 0.11301
10, 6, 0.6, 775, 755, 1, 0.103951
20, 1, 0.4, 3071, 3066, 0, 0.276089
20, 1, 0.6, 3077, 2986, 0, 0.200033
20, 6, 0.4, 3645, 3601, 0, 0.324011
20, 6, 0.6, 3415, 3016, 0, 0.153065
50, 1, 0.4, 25371, 24868, 0, 0.597954
50, 1, 0.6, 20469, 17990, 0, 0.472069
50, 6, 0.4, 24141, 21497, 0, 0.427008
50, 6, 0.6, 15695, 14251, 0, 0.388145
100, 1, 0.4, 94566, 89588, 0, 0.56982
100, 1, 0.6, 74629, 72019, 0, 0.658989
100, 6, 0.4, 91543, 86724, 0, 1.549959
100, 6, 0.6, 67283, 62519, 0, 1.118898
200, 1, 0.4, 326273, 301449, 0, 0.847101
200, 1, 0.6, 264715, 254268, 0, 1.422882
200, 6, 0.4, 314201, 292453, 0, 1.228094
200, 6, 0.6, 249453, 236160, 0, 1.560211
500, 1, 0.4, 2010879, 1839902, 0, 5.113125
500, 1, 0.6, 1663732, 1581233, 0, 2.935886
500, 6, 0.4, 1796465, 1658411, 0, 1.710892
500, 6, 0.6, 1472589, 1413345, 0, 1.964808
1000, 1, 0.4, 9292446, 8570154, 0, 3.520012
1000, 1, 0.6, 6850331, 6411581, 0, 3.350973
1000, 6, 0.4, 7904956, 7144491, 0, 3.593922
1000, 6, 0.6, 6373019, 6082142, 0, 3.437042
