instance, k, h, cost, gt, optimal, time
10, 1, 0.2, 1937, 1936, 0, 0.417948
10, 1, 0.4, 1031, 1025, 0, 0.235081
10, 1, 0.6, 867, 841, 1, 0.230074
10, 1, 0.8, 857, 818, 1, 0.246048
10, 2, 0.2, 1106, 1042, 0, 0.189781
10, 2, 0.4, 639, 615, 1, 0.152111
10, 2, 0.6, 664, 615, 1, 0.102043
10, 2, 0.8, 664, 615, 1, 0.10705
10, 3, 0.2, 1731, 1586, 0, 0.111818
10, 3, 0.4, 972, 917, 0, 0.176668
10, 3, 0.6, 793, 793, 1, 0.188828
10, 3, 0.8, 793, 793, 1, 0.11611
10, 4, 0.2, 2183, 2139, 0, 0.104904
10, 4, 0.4, 1251, 1230, 0, 0.100851
10, 4, 0.6, 815, 815, 1, 0.10705
10, 4, 0.8, 820, 803, 0, 0.099182
10, 5, 0.2, 1214, 1187, 0, 0.195026
10, 5, 0.4, 914, 630, 0, 0.118017
10, 5, 0.6, 601, 521, 1, 0.124931
10, 5, 0.8, 601, 521, 1, 0.110865
10, 6, 0.2, 1530, 1521, 0, 0.133991
10, 6, 0.4, 922, 908, 1, 0.113964
10, 6, 0.6, 775, 755, 1, 0.113726
10, 6, 0.8, 783, 755, 1, 0.108957
20, 1, 0.2, 4502, 4431, 0, 0.193834
20, 1, 0.4, 3071, 3066, 0, 0.17786
20, 1, 0.6, 3077, 2986, 0, 0.153065
20, 1, 0.8, 3077, 2986, 0, 0.151873
20, 2, 0.2, 9021, 8567, 0, 0.180006
20, 2, 0.4, 5785, 4897, 0, 0.165701
20, 2, 0.6, 3379, 3260, 0, 0.167131
20, 2, 0.8, 3442, 2980, 0, 0.154734
20, 3, 0.2, 6338, 6331, 0, 0.155926
20, 3, 0.4, 4044, 3883, 0, 0.194073
20, 3, 0.6, 3583, 3600, 0, 0.22912
20, 3, 0.8, 3583, 3600, 0, 0.339746
20, 4, 0.2, 9421, 9478, 0, 0.454903
20, 4, 0.4, 5156, 5122, 0, 0.429869
20, 4, 0.6, 3345, 3336, 0, 0.194073
20, 4, 0.8, 3391, 3040, 0, 0.15831
20, 5, 0.2, 4411, 4340, 0, 0.164747
20, 5, 0.4, 2655, 2571, 0, 0.161648
20, 5, 0.6, 2512, 2206, 0, 0.186205
20, 5, 0.8, 2512, 2206, 0, 0.146866
20, 6, 0.2, 6688, 6766, 0, 0.294924
20, 6, 0.4, 3931, 3601, 0, 0.340223
20, 6, 0.6, 3415, 3016, 0, 0.240088
20, 6, 0.8, 4098, 3016, 0, 0.249147
50, 1, 0.2, 42256, 42363, 0, 0.669956
50, 1, 0.4, 25322, 24868, 0, 0.478029
50, 1, 0.6, 19266, 17990, 0, 0.538111
50, 1, 0.8, 21391, 17990, 0, 0.568151
50, 2, 0.2, 32317, 33637, 0, 0.454903
50, 2, 0.4, 20188, 19279, 0, 0.503063
50, 2, 0.6, 14563, 14231, 0, 0.233889
50, 2, 0.8, 14739, 14132, 0, 0.207186
50, 3, 0.2, 39048, 37641, 0, 0.204086
50, 3, 0.4, 22980, 21353, 0, 0.200033
50, 3, 0.6, 17806, 16497, 0, 0.192165
50, 3, 0.8, 17484, 16497, 0, 0.192165
50, 4, 0.2, 30453, 30166, 0, 0.208139
50, 4, 0.4, 19208, 17495, 0, 0.20504
50, 4, 0.6, 14717, 14105, 0, 0.20504
50, 4, 0.8, 14942, 14105, 0, 0.201941
50, 5, 0.2, 33499, 32604, 0, 0.202179
