instance, k, h, cost, gt, optimal, time
10, 1, 0.2, 1937, 1936, 0, 0.242949
10, 1, 0.4, 1031, 1025, 0, 0.094891
10, 1, 0.6, 867, 841, 1, 0.101089
10, 1, 0.8, 857, 818, 1, 0.078917
10, 2, 0.2, 1106, 1042, 0, 0.089884
10, 2, 0.4, 639, 615, 1, 0.075817
10, 2, 0.6, 664, 615, 1, 0.08297
10, 2, 0.8, 664, 615, 1, 0.111818
10, 3, 0.2, 1731, 1586, 0, 0.094891
10, 3, 0.4, 972, 917, 0, 0.077724
10, 3, 0.6, 793, 793, 1, 0.083923
10, 3, 0.8, 793, 793, 1, 0.077009
10, 4, 0.2, 2183, 2139, 0, 0.099897
10, 4, 0.4, 1251, 1230, 0, 0.076056
10, 4, 0.6, 815, 815, 1, 0.085115
10, 4, 0.8, 820, 803, 0, 0.081062
10, 5, 0.2, 1214, 1187, 0, 0.09203
10, 5, 0.4, 914, 630, 0, 0.072241
10, 5, 0.6, 601, 521, 1, 0.069857
10, 5, 0.8, 601, 521, 1, 0.067949
10, 6, 0.2, 1530, 1521, 0, 0.077009
10, 6, 0.4, 922, 908, 1, 0.076056
10, 6, 0.6, 775, 755, 1, 0.075579
10, 6, 0.8, 783, 755, 1, 0.074148
10, 7, 0.2, 2628, 2170, 0, 0.080824
10, 7, 0.4, 1654, 1374, 1, 0.080824
10, 7, 0.6, 1110, 1101, 0, 0.078201
10, 7, 0.8, 1237, 1083, 1, 0.077963
10, 8, 0.2, 1734, 1720, 0, 0.082254
10, 8, 0.4, 1020, 1020, 0, 0.081062
10, 8, 0.6, 610, 610, 1, 0.077248
10, 8, 0.8, 583, 540, 1, 0.080109
10, 9, 0.2, 1749, 1574, 0, 0.07987
10, 9, 0.4, 1151, 876, 1, 0.07987
10, 9, 0.6, 744, 582, 1, 0.078201
10, 9, 0.8, 622, 554, 1, 0.077009
10, 10, 0.2, 1955, 1869, 0, 0.07391
10, 10, 0.4, 1140, 1136, 0, 0.074148
10, 10, 0.6, 713, 710, 0, 0.07391
10, 10, 0.8, 719, 671, 1, 0.133038
20, 1, 0.2, 4502, 4431, 0, 0.155926
20, 1, 0.4, 3071, 3066, 0, 0.110865
20, 1, 0.6, 3077, 2986, 0, 0.100851
20, 1, 0.8, 3077, 2986, 0, 0.100136
20, 2, 0.2, 9021, 8567, 0, 0.119209
20, 2, 0.4, 5785, 4897, 0, 0.115871
20, 2, 0.6, 3379, 3260, 0, 0.11301
20, 2, 0.8, 3442, 2980, 0, 0.111103
20, 3, 0.2, 6338, 6331, 0, 0.101089
20, 3, 0.4, 4044, 3883, 0, 0.152111
20, 3, 0.6, 3583, 3600, 0, 0.182867
20, 3, 0.8, 3583, 3600, 0, 0.164986
20, 4, 0.2, 9421, 9478, 0, 0.652075
20, 4, 0.4, 5156, 5122, 0, 0.693321
20, 4, 0.6, 3345, 3336, 0, 0.544071
20, 4, 0.8, 3391, 3040, 0, 0.227928
20, 5, 0.2, 4411, 4340, 0, 0.19908
20, 5, 0.4, 2655, 2571, 0, 0.200033
20, 5, 0.6, 2512, 2206, 0, 0.189781
20, 5, 0.8, 2512, 2206, 0, 0.640154
20, 6, 0.2, 6688, 6766, 0, 0.285149
20, 6, 0.4, 3931, 3601, 0, 0.255108
20, 6, 0.6, 3415, 3016, 0, 0.241041
20, 6, 0.8, 4098, 3016, 0, 0.346184
20, 7, 0.2, 11376, 1110, 0, 0.339031
20, 7, 0.4, 6296, 16357, 0, 0.261784
20, 7, 0.6, 4148, 4175, 0, 0.241041
20, 7, 0.8, 4431, 3900, 0, 0.231266
20, 8, 0.2, 4219, 4203, 0, 0.216722
20, 8, 0.4, 2613, 2151, 0, 0.201941
20, 8, 0.6, 1650, 1638, 0, 0.315189
20, 8, 0.8, 1657, 1638, 0, 0.212908
20, 9, 0.2, 3573, 3530, 0, 0.196695
20, 9, 0.4, 2133, 2097, 0, 0.175714
20, 9, 0.6, 2133, 1992, 0, 0.174999
20, 9, 0.8, 2133, 1992, 0, 0.18096
20, 10, 0.2, 5620, 5545, 0, 0.20504
20, 10, 0.4, 4227, 3192, 0, 0.216961
20, 10, 0.6, 2162, 2116, 0, 0.30899
20, 10, 0.8, 2249, 1995, 0, 0.231743
50, 1, 0.2, 42256, 42363, 0, 0.488758
50, 1, 0.4, 25322, 24868, 0, 0.402212
50, 1, 0.6, 19266, 17990, 0, 0.52619
50, 1, 0.8, 21391, 17990, 0, 0.586033
50, 2, 0.2, 32317, 33637, 0, 0.470161
50, 2, 0.4, 20188, 19279, 0, 0.431776
50, 2, 0.6, 14563, 14231, 0, 0.424862
50, 2, 0.8, 14739, 14132, 0, 0.406742
50, 3, 0.2, 39048, 37641, 0, 1.477003
50, 3, 0.4, 22980, 21353, 0, 0.505924
50, 3, 0.6, 17806, 16497, 0, 0.424147
50, 3, 0.8, 17484, 16497, 0, 0.376225
50, 4, 0.2, 30453, 30166, 0, 0.446081
50, 4, 0.4, 19208, 17495, 0, 0.420094
50, 4, 0.6, 14717, 14105, 0, 0.404119
50, 4, 0.8, 14942, 14105, 0, 0.405073
50, 5, 0.2, 33499, 32604, 0, 0.58794
50, 5, 0.4, 19333, 18441, 0, 1.069069
50, 5, 0.6, 15042, 14650, 0, 0.386715
50, 5, 0.8, 15455, 14650, 0, 0.394106
50, 6, 0.2, 38905, 36920, 0, 0.479937
50, 6, 0.4, 24141, 21497, 0, 0.410318
50, 6, 0.6, 15695, 14251, 0, 0.388145
50, 6, 0.8, 14536, 14075, 0, 0.653028
50, 7, 0.2, 44305, 44277, 0, 0.456095
50, 7, 0.4, 24545, 23883, 0, 0.433922
50, 7, 0.6, 17955, 17715, 0, 4.25005
50, 7, 0.8, 19687, 17715, 0, 0.430107
50, 8, 0.2, 45561, 46065, 0, 0.831842
50, 8, 0.4, 27054, 25402, 0, 0.750065
50, 8, 0.6, 22692, 21367, 0, 0.429153
50, 8, 0.8, 24141, 21367, 0, 0.37694
50, 9, 0.2, 36513, 36397, 0, 0.341892
50, 9, 0.4, 22433, 21929, 0, 0.427961
50, 9, 0.6, 15223, 14298, 0, 0.579834
50, 9, 0.8, 15265, 13952, 0, 0.340939
50, 10, 0.2, 37120, 35797, 0, 0.340939
50, 10, 0.4, 22107, 20048, 0, 0.614882
50, 10, 0.6, 15368, 14377, 0, 0.410795
50, 10, 0.8, 15410, 14377, 0, 0.406981
100, 1, 0.2, 159386, 156103, 0, 0.795841
100, 1, 0.4, 94566, 89588, 0, 0.797033
100, 1, 0.6, 74634, 72019, 0, 0.791073
100, 1, 0.8, 76939, 72019, 0, 0.751019
100, 2, 0.2, 131446, 132605, 0, 9.203911
100, 2, 0.4, 79624, 74854, 0, 4.974127
100, 2, 0.6, 61078, 59351, 0, 5.686045
100, 2, 0.8, 62090, 59351, 0, 3.575087
100, 3, 0.2, 141012, 137463, 0, 7.105112
100, 3, 0.4, 87357, 85363, 0, 1.712322
100, 3, 0.6, 70411, 68537, 0, 1.49107
100, 3, 0.8, 70598, 68537, 0, 4.899025
100, 4, 0.2, 140155, 137265, 0, 4.875183
100, 4, 0.4, 99732, 87730, 0, 2.242088
100, 4, 0.6, 75533, 69231, 0, 6.162882
100, 4, 0.8, 83348, 69231, 0, 5.14698
100, 5, 0.2, 133770, 136761, 0, 1.760006
100, 5, 0.4, 86672, 76424, 0, 1.290083
100, 5, 0.6, 59286, 55291, 0, 4.448175
100, 5, 0.8, 57688, 55277, 0, 3.277063
100, 6, 0.2, 142999, 151938, 0, 1.305103
100, 6, 0.4, 91332, 86724, 0, 1.838923
100, 6, 0.6, 67316, 62519, 0, 2.485991
100, 6, 0.8, 67927, 62519, 0, 1.00708
100, 7, 0.2, 143080, 141613, 0, 1.811981
100, 7, 0.4, 92163, 79854, 0, 0.856876
100, 7, 0.6, 69098, 62213, 0, 3.203869
100, 7, 0.8, 69594, 62213, 0, 0.711203
100, 8, 0.2, 168012, 168086, 0, 0.642061
100, 8, 0.4, 98428, 95361, 0, 0.522852
100, 8, 0.6, 85065, 80844, 0, 0.491858
100, 8, 0.8, 85190, 80844, 0, 0.535965
100, 9, 0.2, 123267, 125153, 0, 0.46277
100, 9, 0.4, 83284, 73605, 0, 0.555038
100, 9, 0.6, 61148, 58771, 0, 0.542164
100, 9, 0.8, 64842, 58771, 0, 0.596046
100, 10, 0.2, 125227, 124446, 0, 0.580788
100, 10, 0.4, 81236, 72399, 0, 0.705004
100, 10, 0.6, 62602, 61419, 0, 1.569033
100, 10, 0.8, 62656, 61419, 0, 0.785828
200, 1, 0.2, 533726, 526666, 0, 0.807285
200, 1, 0.4, 325905, 301449, 0, 0.766993
200, 1, 0.6, 264719, 254268, 0, 0.880003
200, 1, 0.8, 267392, 254268, 0, 0.749111
200, 2, 0.2, 570469, 566643, 0, 1.113176
200, 2, 0.4, 363425, 335714, 0, 0.922918
200, 2, 0.6, 277238, 266028, 0, 0.850916
200, 2, 0.8, 283362, 266028, 0, 1.821995
200, 3, 0.2, 524257, 529919, 0, 1.401901
200, 3, 0.4, 348339, 308278, 0, 1.29199
200, 3, 0.6, 267034, 254647, 0, 1.775026
200, 3, 0.8, 274392, 254647, 0, 0.818014
200, 4, 0.2, 613854, 603709, 0, 0.888824
200, 4, 0.4, 397925, 360852, 0, 0.89407
200, 4, 0.6, 305413, 297269, 0, 0.812769
200, 4, 0.8, 312072, 297269, 0, 0.794888
200, 5, 0.2, 553586, 547953, 0, 0.837088
200, 5, 0.4, 332317, 322268, 0, 1.097918
200, 5, 0.6, 271404, 260455, 0, 1.245975
200, 5, 0.8, 271479, 260455, 0, 1.657248
200, 6, 0.2, 505608, 502276, 0, 1.37496
200, 6, 0.4, 313989, 292453, 0, 0.880241
200, 6, 0.6, 249477, 236160, 0, 1.779079
200, 6, 0.8, 262849, 236160, 0, 0.937939
200, 7, 0.2, 484144, 479651, 0, 0.998974
200, 7, 0.4, 322119, 279576, 0, 0.844955
200, 7, 0.6, 263117, 247555, 0, 1.062155
200, 7, 0.8, 271949, 247555, 0, 0.957251
200, 8, 0.2, 522862, 530896, 0, 1.16086
