instance, k, h, cost, gt, optimal, time
10, 1, 0.2, 1937, 1936, 0, 0.418901
10, 1, 0.4, 1031, 1025, 0, 0.212908
10, 1, 0.6, 867, 841, 1, 0.190973
10, 1, 0.8, 857, 818, 1, 0.218153
10, 2, 0.2, 1106, 1042, 0, 0.259161
10, 2, 0.4, 639, 615, 1, 0.231981
10, 2, 0.6, 664, 615, 1, 0.183105
10, 2, 0.8, 664, 615, 1, 0.16284
10, 3, 0.2, 1731, 1586, 0, 0.185966
10, 3, 0.4, 972, 917, 0, 0.168324
10, 3, 0.6, 793, 793, 1, 0.164747
10, 3, 0.8, 793, 793, 1, 0.158072
10, 4, 0.2, 2183, 2139, 0, 0.138044
10, 4, 0.4, 1251, 1230, 0, 0.123024
10, 4, 0.6, 815, 815, 1, 0.124931
10, 4, 0.8, 820, 803, 0, 0.127077
10, 5, 0.2, 1214, 1187, 0, 0.136852
10, 5, 0.4, 914, 630, 0, 0.112057
10, 5, 0.6, 601, 521, 1, 0.118732
10, 5, 0.8, 601, 521, 1, 0.121117
10, 6, 0.2, 1530, 1521, 0, 0.134945
10, 6, 0.4, 922, 908, 1, 0.118017
10, 6, 0.6, 775, 755, 1, 0.11611
10, 6, 0.8, 783, 755, 1, 0.120878
20, 1, 0.2, 4502, 4431, 0, 0.200987
20, 1, 0.4, 3071, 3066, 0, 0.277996
20, 1, 0.6, 3077, 2986, 0, 0.463009
20, 1, 0.8, 3077, 2986, 0, 0.262976
20, 2, 0.2, 9021, 8567, 0, 0.399113
20, 2, 0.4, 5785, 4897, 0, 0.272751
20, 2, 0.6, 3379, 3260, 0, 0.269651
20, 2, 0.8, 3442, 2980, 0, 0.263929
20, 3, 0.2, 6338, 6331, 0, 0.477076
20, 3, 0.4, 4044, 3883, 0, 0.266075
20, 3, 0.6, 3583, 3600, 0, 0.239849
20, 3, 0.8, 3583, 3600, 0, 0.252724
20, 4, 0.2, 9421, 9478, 0, 0.280142
20, 4, 0.4, 5156, 5122, 0, 0.366926
20, 4, 0.6, 3345, 3336, 0, 0.247002
20, 4, 0.8, 3391, 3040, 0, 0.258923
20, 5, 0.2, 4411, 4340, 0, 0.14019
20, 5, 0.4, 2655, 2571, 0, 0.120163
20, 5, 0.6, 2512, 2206, 0, 0.332117
20, 5, 0.8, 2512, 2206, 0, 0.185013
20, 6, 0.2, 6688, 6766, 0, 0.213146
20, 6, 0.4, 3931, 3601, 0, 0.200987
20, 6, 0.6, 3415, 3016, 0, 0.191927
20, 6, 0.8, 4098, 3016, 0, 0.189304
50, 1, 0.2, 42256, 42363, 0, 0.348091
50, 1, 0.4, 25322, 24868, 0, 0.347853
50, 1, 0.6, 19266, 17990, 0, 0.359058
50, 1, 0.8, 21391, 17990, 0, 0.454903
50, 2, 0.2, 32317, 33637, 0, 0.354052
50, 2, 0.4, 20188, 19279, 0, 0.30899
50, 2, 0.6, 14563, 14231, 0, 0.247002
50, 2, 0.8, 14739, 14132, 0, 0.25177
50, 3, 0.2, 39048, 37641, 0, 0.351906
50, 3, 0.4, 22980, 21353, 0, 0.447273
50, 3, 0.6, 17806, 16497, 0, 0.78702
50, 3, 0.8, 17484, 16497, 0, 0.337839
50, 4, 0.2, 30453, 30166, 0, 0.336885
50, 4, 0.4, 19208, 17495, 0, 0.322819
50, 4, 0.6, 14717, 14105, 0, 0.319958
50, 4, 0.8, 14942, 14105, 0, 0.314951
50, 5, 0.2, 33499, 32604, 0, 0.331879
50, 5, 0.4, 19333, 18441, 0, 0.384092
50, 5, 0.6, 15042, 14650, 0, 0.804186
50, 5, 0.8, 15455, 14650, 0, 0.266075
50, 6, 0.2, 38905, 36920, 0, 0.254869
50, 6, 0.4, 24141, 21497, 0, 0.253201
50, 6, 0.6, 15695, 14251, 0, 0.253201
50, 6, 0.8, 14536, 14075, 0, 0.243902
100, 1, 0.2, 159386, 156103, 0, 0.674009
