instance, k, h, cost, gt, optimal, time
10, 1, 0.2, 1937, 1936, 0, 0.398159
10, 1, 0.4, 1031, 1025, 0, 0.17786
10, 1, 0.6, 867, 841, 1, 0.136852
10, 1, 0.8, 857, 818, 1, 0.127077
10, 2, 0.2, 1106, 1042, 0, 0.153065
10, 2, 0.4, 639, 615, 1, 0.120878
10, 2, 0.6, 664, 615, 1, 0.139952
10, 2, 0.8, 664, 615, 1, 0.118017
10, 3, 0.2, 1731, 1586, 0, 0.150919
10, 3, 0.4, 972, 917, 0, 0.128984
10, 3, 0.6, 793, 793, 1, 0.103951
10, 3, 0.8, 793, 793, 1, 0.096083
10, 4, 0.2, 2183, 2139, 0, 0.118017
10, 4, 0.4, 1251, 1230, 0, 0.098705
10, 4, 0.6, 815, 815, 1, 0.167131
10, 4, 0.8, 820, 803, 0, 0.193834
10, 5, 0.2, 1214, 1187, 0, 0.172138
10, 5, 0.4, 914, 630, 0, 0.15521
10, 5, 0.6, 601, 521, 1, 0.149965
10, 5, 0.8, 601, 521, 1, 0.152111
10, 6, 0.2, 1530, 1521, 0, 0.178337
10, 6, 0.4, 922, 908, 1, 0.183821
10, 6, 0.6, 775, 755, 1, 0.12207
10, 6, 0.8, 783, 755, 1, 0.118971
20, 1, 0.2, 4502, 4431, 0, 0.188112
20, 1, 0.4, 3071, 3066, 0, 0.179052
20, 1, 0.6, 3077, 2986, 0, 0.159979
20, 1, 0.8, 3077, 2986, 0, 0.149965
20, 2, 0.2, 9021, 8567, 0, 0.182867
20, 2, 0.4, 5785, 4897, 0, 0.167847
20, 2, 0.6, 3379, 3260, 0, 0.212908
20, 2, 0.8, 3442, 2980, 0, 0.593901
20, 3, 0.2, 6338, 6331, 0, 0.550985
20, 3, 0.4, 4044, 3883, 0, 0.269175
20, 3, 0.6, 3583, 3600, 0, 0.420809
20, 3, 0.8, 3583, 3600, 0, 0.141621
20, 4, 0.2, 9421, 9478, 0, 0.133991
20, 4, 0.4, 5156, 5122, 0, 0.181913
20, 4, 0.6, 3345, 3336, 0, 0.194073
20, 4, 0.8, 3391, 3040, 0, 0.167847
20, 5, 0.2, 4411, 4340, 0, 0.196934
20, 5, 0.4, 2655, 2571, 0, 0.20504
20, 5, 0.6, 2512, 2206, 0, 0.206232
20, 5, 0.8, 2512, 2206, 0, 0.166893
20, 6, 0.2, 6688, 6766, 0, 0.167847
20, 6, 0.4, 3931, 3601, 0, 0.166893
20, 6, 0.6, 3415, 3016, 0, 0.164986
20, 6, 0.8, 4098, 3016, 0, 0.217676
50, 1, 0.2, 42256, 42363, 0, 0.484943
50, 1, 0.4, 25322, 24868, 0, 0.303984
50, 1, 0.6, 19266, 17990, 0, 0.423193
50, 1, 0.8, 21391, 17990, 0, 0.447989
50, 2, 0.2, 32317, 33637, 0, 0.412941
50, 2, 0.4, 20188, 19279, 0, 0.431061
50, 2, 0.6, 14563, 14231, 0, 0.613928
50, 2, 0.8, 14739, 14132, 0, 0.26989
50, 3, 0.2, 39048, 37641, 0, 0.324011
50, 3, 0.4, 22980, 21353, 0, 0.566959
50, 3, 0.6, 17806, 16497, 0, 0.604868
50, 3, 0.8, 17484, 16497, 0, 0.323772
50, 4, 0.2, 30453, 30166, 0, 0.433922
50, 4, 0.4, 19208, 17495, 0, 0.427008
50, 4, 0.6, 14717, 14105, 0, 0.332117
50, 4, 0.8, 14942, 14105, 0, 0.410795
50, 5, 0.2, 33499, 32604, 0, 0.45085
50, 5, 0.4, 19333, 18441, 0, 0.398874
50, 5, 0.6, 15042, 14650, 0, 0.509977
50, 5, 0.8, 15455, 14650, 0, 0.416994
50, 6, 0.2, 38905, 36920, 0, 0.414848
50, 6, 0.4, 24141, 21497, 0, 0.394106
50, 6, 0.6, 15695, 14251, 0, 0.398874
50, 6, 0.8, 14536, 14075, 0, 0.390768
100, 1, 0.2, 159386, 156103, 0, 0.848055
100, 1, 0.4, 94566, 89588, 0, 0.854015
100, 1, 0.6, 74634, 72019, 0, 0.758886
100, 1, 0.8, 76939, 72019, 0, 0.714064
100, 2, 0.2, 131446, 132605, 0, 1.204967
100, 2, 0.4, 79624, 74854, 0, 0.773907
100, 2, 0.6, 61078, 59351, 0, 0.787258
100, 2, 0.8, 62090, 59351, 0, 0.718117
100, 3, 0.2, 141012, 137463, 0, 0.937939
100, 3, 0.4, 87357, 85363, 0, 0.807047
100, 3, 0.6, 70411, 68537, 0, 0.46277
100, 3, 0.8, 70598, 68537, 0, 0.594139
100, 4, 0.2, 140155, 137265, 0, 0.533104
100, 4, 0.4, 99732, 87730, 0, 0.510931
100, 4, 0.6, 75533, 69231, 0, 0.46587
100, 4, 0.8, 83348, 69231, 0, 0.484228
100, 5, 0.2, 133770, 136761, 0, 0.660896
100, 5, 0.4, 86672, 76424, 0, 0.762939
100, 5, 0.6, 59286, 55291, 0, 0.767946
100, 5, 0.8, 57688, 55277, 0, 1.065016
100, 6, 0.2, 142999, 151938, 0, 0.640154
100, 6, 0.4, 91332, 86724, 0, 1.00112
100, 6, 0.6, 67316, 62519, 0, 0.629902
100, 6, 0.8, 67927, 62519, 0, 0.752687
200, 1, 0.2, 533726, 526666, 0, 1.051188
200, 1, 0.4, 325905, 301449, 0, 1.592159
200, 1, 0.6, 264719, 254268, 0, 2.280951
200, 1, 0.8, 267392, 254268, 0, 1.919985
200, 2, 0.2, 570469, 566643, 0, 1.694918
200, 2, 0.4, 363425, 335714, 0, 1.610279
200, 2, 0.6, 277238, 266028, 0, 1.43528
200, 2, 0.8, 283362, 266028, 0, 1.08099
200, 3, 0.2, 524257, 529919, 0, 1.060724
200, 3, 0.4, 348339, 308278, 0, 1.41716
200, 3, 0.6, 267034, 254647, 0, 1.433849
200, 3, 0.8, 274392, 254647, 0, 1.619101
200, 4, 0.2, 613854, 603709, 0, 1.642942
200, 4, 0.4, 397925, 360852, 0, 1.510859
200, 4, 0.6, 305413, 297269, 0, 1.305819
200, 4, 0.8, 312072, 297269, 0, 1.348019
200, 5, 0.2, 553586, 547953, 0, 1.430035
200, 5, 0.4, 332317, 322268, 0, 1.488209
200, 5, 0.6, 271404, 260455, 0, 1.428843
200, 5, 0.8, 271479, 260455, 0, 1.413107
200, 6, 0.2, 505608, 502276, 0, 1.758099
200, 6, 0.4, 313989, 292453, 0, 1.398087
200, 6, 0.6, 249477, 236160, 0, 1.646757
200, 6, 0.8, 262849, 236160, 0, 1.569033
500, 1, 0.2, 3135407, 3113088, 0, 2.795696
500, 1, 0.4, 2016667, 1839902, 0, 2.262115
500, 1, 0.6, 1663678, 1581233, 0, 3.749132
500, 1, 0.8, 1706223, 1581233, 0, 3.486156
500, 2, 0.2, 3615502, 3569058, 0, 2.642155
500, 2, 0.4, 2163875, 2064998, 0, 1.714945
500, 2, 0.6, 1790671, 1715332, 0, 1.935959
500, 2, 0.8, 1864498, 1715322, 0, 2.707958
500, 3, 0.2, 3335496, 3300744, 0, 2.930164
500, 3, 0.4, 2090537, 1909304, 0, 2.632856
500, 3, 0.6, 1735601, 1644947, 0, 1.929045
500, 3, 0.8, 1774418, 1644947, 0, 1.710176
500, 4, 0.2, 3420442, 3408867, 0, 2.091169
500, 4, 0.4, 2092325, 1930829, 0, 4.307985
500, 4, 0.6, 1723174, 1640942, 0, 2.865791
500, 4, 0.8, 1753089, 1640942, 0, 1.714945
500, 5, 0.2, 3363319, 3377547, 0, 2.068043
500, 5, 0.4, 2027917, 1881221, 0, 1.87993
500, 5, 0.6, 1533155, 1468325, 0, 4.864931
500, 5, 0.8, 1586070, 1468325, 0, 4.330873
500, 6, 0.2, 3017814, 3024082, 0, 2.476931
500, 6, 0.4, 1807575, 1658411, 0, 2.510071
500, 6, 0.6, 1472815, 1413345, 0, 3.082991
500, 6, 0.8, 1471994, 1413345, 0, 3.605127
1000, 1, 0.2, 15012574, 15190371, 0, 4.140139
1000, 1, 0.4, 9284600, 8570154, 0, 4.850149
1000, 1, 0.6, 6839076, 6411581, 0, 4.126072
1000, 1, 0.8, 7113626, 6411581, 0, 7.255077
1000, 2, 0.2, 13334740, 13356727, 0, 5.175114
1000, 2, 0.4, 8393855, 7592040, 0, 6.435871
1000, 2, 0.6, 6384778, 6112598, 0, 4.473209
1000, 2, 0.8, 6613735, 6112598, 0, 3.453016
1000, 3, 0.2, 12910139, 12919259, 0, 6.192207
1000, 3, 0.4, 8070140, 7313736, 0, 4.661798
1000, 3, 0.6, 6226250, 5985538, 0, 3.556967
1000, 3, 0.8, 6428729, 5985538, 0, 6.652355
1000, 4, 0.2, 12808212, 12705290, 0, 13.717175
1000, 4, 0.4, 8021439, 7300217, 0, 5.237818
1000, 4, 0.6, 6358708, 6096729, 0, 3.364086
1000, 4, 0.8, 6555275, 6096729, 0, 5.61285
1000, 5, 0.2, 13530399, 13276868, 0, 6.197929
1000, 5, 0.4, 8477754, 7738367, 0, 6.162882
1000, 5, 0.6, 6617525, 6348242, 0, 4.648209
1000, 5, 0.8, 6783068, 6348242, 0, 3.519058
1000, 6, 0.2, 12456436, 12236080, 0, 5.913258
1000, 6, 0.4, 7920737, 7144491, 0, 4.628181
1000, 6, 0.6, 6374133, 6082142, 0, 3.302336
1000, 6, 0.8, 6431517, 6082142, 0, 5.519867
