instance, k, h, cost, gt, optimal, time
10, 1, 0.2, 1937, 1936, 0, 0.396967
10, 1, 0.4, 1031, 1025, 0, 0.177145
10, 1, 0.6, 867, 841, 1, 0.138044
10, 1, 0.8, 857, 818, 1, 0.128031
10, 2, 0.2, 1106, 1042, 0, 0.133276
10, 2, 0.4, 639, 615, 1, 0.134945
10, 2, 0.6, 664, 615, 1, 0.12064
10, 2, 0.8, 664, 615, 1, 0.138998
10, 3, 0.2, 1731, 1586, 0, 0.105858
10, 3, 0.4, 972, 917, 0, 0.103235
10, 3, 0.6, 793, 793, 1, 0.094891
10, 3, 0.8, 793, 793, 1, 0.101805
10, 4, 0.2, 2183, 2139, 0, 0.108004
10, 4, 0.4, 1251, 1230, 0, 0.175238
10, 4, 0.6, 815, 815, 1, 0.180006
10, 4, 0.8, 820, 803, 0, 0.18096
10, 5, 0.2, 1214, 1187, 0, 0.108242
10, 5, 0.4, 914, 630, 0, 0.097036
10, 5, 0.6, 601, 521, 1, 0.093937
10, 5, 0.8, 601, 521, 1, 0.092268
10, 6, 0.2, 1530, 1521, 0, 0.102997
10, 6, 0.4, 922, 908, 1, 0.101328
10, 6, 0.6, 775, 755, 1, 0.138044
10, 6, 0.8, 783, 755, 1, 0.1688
20, 1, 0.2, 4502, 4431, 0, 0.173807
20, 1, 0.4, 3071, 3066, 0, 0.108719
20, 1, 0.6, 3077, 2986, 0, 0.099659
20, 1, 0.8, 3077, 2986, 0, 0.095129
20, 2, 0.2, 9021, 8567, 0, 0.136852
20, 2, 0.4, 5785, 4897, 0, 0.216007
20, 2, 0.6, 3379, 3260, 0, 0.362873
20, 2, 0.8, 3442, 2980, 0, 0.744104
20, 3, 0.2, 6338, 6331, 0, 0.370026
20, 3, 0.4, 4044, 3883, 0, 0.237942
20, 3, 0.6, 3583, 3600, 0, 0.169039
20, 3, 0.8, 3583, 3600, 0, 0.104904
20, 4, 0.2, 9421, 9478, 0, 0.20504
20, 4, 0.4, 5156, 5122, 0, 0.219107
20, 4, 0.6, 3345, 3336, 0, 0.263214
20, 4, 0.8, 3391, 3040, 0, 0.326872
20, 5, 0.2, 4411, 4340, 0, 0.203848
20, 5, 0.4, 2655, 2571, 0, 0.171185
20, 5, 0.6, 2512, 2206, 0, 0.602007
20, 5, 0.8, 2512, 2206, 0, 0.260115
20, 6, 0.2, 6688, 6766, 0, 0.219822
20, 6, 0.4, 3931, 3601, 0, 3.498077
20, 6, 0.6, 3415, 3016, 0, 0.271797
20, 6, 0.8, 4098, 3016, 0, 0.180006
50, 1, 0.2, 42256, 42363, 0, 0.567198
50, 1, 0.4, 25322, 24868, 0, 0.468969
50, 1, 0.6, 19266, 17990, 0, 0.4282
50, 1, 0.8, 21391, 17990, 0, 0.550032
50, 2, 0.2, 32317, 33637, 0, 0.659943
50, 2, 0.4, 20188, 19279, 0, 0.427723
50, 2, 0.6, 14563, 14231, 0, 0.287056
50, 2, 0.8, 14739, 14132, 0, 0.283718
50, 3, 0.2, 39048, 37641, 0, 0.25773
50, 3, 0.4, 22980, 21353, 0, 0.267029
50, 3, 0.6, 17806, 16497, 0, 0.272036
50, 3, 0.8, 17484, 16497, 0, 0.70405
50, 4, 0.2, 30453, 30166, 0, 0.431776
50, 4, 0.4, 19208, 17495, 0, 0.211954
50, 4, 0.6, 14717, 14105, 0, 0.200987
50, 4, 0.8, 14942, 14105, 0, 0.22006
50, 5, 0.2, 33499, 32604, 0, 0.28491
50, 5, 0.4, 19333, 18441, 0, 0.202894
50, 5, 0.6, 15042, 14650, 0, 0.189304
50, 5, 0.8, 15455, 14650, 0, 0.186682
50, 6, 0.2, 38905, 36920, 0, 0.210762
