instance, k, h, cost, gt, optimal, time
10, 1, 0.2, 1937, 1936, 0, 0.411034
10, 1, 0.4, 1031, 1025, 0, 0.241041
10, 1, 0.6, 867, 841, 1, 0.187159
10, 1, 0.8, 857, 818, 1, 0.225067
10, 2, 0.2, 1106, 1042, 0, 0.191927
10, 2, 0.4, 639, 615, 1, 0.356197
10, 2, 0.6, 664, 615, 1, 0.190973
10, 2, 0.8, 664, 615, 1, 0.164032
10, 3, 0.2, 1731, 1586, 0, 0.198126
10, 3, 0.4, 972, 917, 0, 0.172138
10, 3, 0.6, 793, 793, 1, 0.173092
10, 3, 0.8, 793, 793, 1, 0.122786
10, 4, 0.2, 2183, 2139, 0, 0.149012
10, 4, 0.4, 1251, 1230, 0, 0.258923
10, 4, 0.6, 815, 815, 1, 0.164986
10, 4, 0.8, 820, 803, 0, 0.141144
10, 5, 0.2, 1190, 1187, 0, 0.149012
10, 5, 0.4, 914, 630, 0, 0.125885
10, 5, 0.6, 601, 521, 1, 0.114918
10, 5, 0.8, 601, 521, 1, 0.120878
10, 6, 0.2, 1530, 1521, 0, 0.141144
10, 6, 0.4, 922, 908, 1, 0.123978
10, 6, 0.6, 775, 755, 1, 0.124931
10, 6, 0.8, 783, 755, 1, 0.119686
20, 1, 0.2, 4543, 4431, 0, 0.313044
20, 1, 0.4, 3071, 3066, 0, 0.310898
20, 1, 0.6, 3077, 2986, 0, 0.469923
20, 1, 0.8, 3077, 2986, 0, 0.580072
20, 2, 0.2, 9067, 8567, 0, 0.253201
20, 2, 0.4, 5785, 4897, 0, 1.651049
20, 2, 0.6, 3383, 3260, 0, 0.271082
20, 2, 0.8, 3442, 2980, 0, 0.221014
20, 3, 0.2, 6349, 6331, 0, 0.227928
20, 3, 0.4, 4044, 3883, 0, 0.201941
20, 3, 0.6, 3583, 3600, 0, 0.194073
20, 3, 0.8, 3583, 3600, 0, 0.200033
20, 4, 0.2, 9452, 9478, 0, 0.225067
20, 4, 0.4, 5156, 5122, 0, 0.210285
20, 4, 0.6, 3345, 3336, 0, 0.674725
20, 4, 0.8, 3391, 3040, 0, 0.280857
20, 5, 0.2, 4428, 4340, 0, 0.28491
20, 5, 0.4, 2655, 2571, 0, 0.299692
20, 5, 0.6, 2512, 2206, 0, 0.28801
20, 5, 0.8, 2512, 2206, 0, 0.355005
20, 6, 0.2, 6688, 6766, 0, 0.267982
20, 6, 0.4, 4075, 3601, 0, 0.257015
20, 6, 0.6, 3415, 3016, 0, 0.249863
20, 6, 0.8, 4098, 3016, 0, 0.216961
50, 1, 0.2, 45539, 42363, 0, 0.497103
50, 1, 0.4, 25322, 24868, 0, 0.426054
50, 1, 0.6, 20429, 17990, 0, 0.386953
50, 1, 0.8, 21391, 17990, 0, 0.365019
